Sequence,AP@0.5,AP@0.5 (macro %),AP@0.75,AP@0.75 (macro %),AssA,AssA (%),DetA,DetA (%),Discriminability,Discriminability (mean),Emb-dim,F1,F1 (%),FN,FN (track),FN_t,FP,FP (track),FP_t,Frag,Frames,GT-tracks,HOTA,HOTA (%),ID-sw,IDF1,IDF1 (%),IDs,Inter-track cos-sim,Inter-track cos-sim (mean),Intra-track cos-sim,Intra-track cos-sim (mean),ML,MOTA,MOTA (%),MOTP,MOTP (%),MT,Mean L2 norm,N vectors,PT,Prec_t,Precision,Precision (%),Pred-tracks,Rec_t,Recall,Recall (%),Sequences with embs,TP,Total GT boxes,Total detections,Tracks sampled,mAP@[.5:.95],mAP@[.5:.95] (%)
uav0000086_00000_v,0.0,,0.0,,17.01,,14.26,,0.0047,,512,0.1,,23052,,18626,68663,,340,73,464,82,15.55,,,28.51,,16,0.5505,,0.5552,,64,17.82,,27.42,,4,1.0,10000,14,92.93,0.07,,27,19.36,0.19,,,45,,,27,0.0,
uav0000117_02622_v,0.0,,0.0,,45.65,,5.92,,-0.0028,,512,0.01,,17273,,16026,82239,,93,9,349,145,16.43,,,13.44,,1,0.4971,,0.4944,,133,6.71,,19.98,,4,1.0,10000,8,93.09,0.01,,15,7.25,0.03,,,6,,,14,0.0,
uav0000137_00458_v,0.05,,0.0,,55.09,,10.24,,0.0046,,512,0.13,,24031,,21289,63901,,111,6,233,180,23.75,,,20.45,,2,0.4941,,0.4987,,157,11.15,,13.24,,16,1.0,10000,7,96.19,0.09,,28,11.62,0.24,,,57,,,28,0.01,
uav0000182_00000_v,0.0,,0.0,,23.53,,3.13,,-0.0033,,512,0.03,,17658,,17013,58051,,49,2,363,155,8.57,,,6.66,,2,0.5262,,0.5228,,146,3.44,,19.21,,2,1.0,10000,7,93.07,0.02,,14,3.72,0.07,,,13,,,14,0.0,
uav0000268_05773_v,0.0,,0.0,,38.92,,11.2,,0.0088,,512,0.0,,13578,,11815,24324,,4,3,978,52,20.88,,,22.98,,0,0.5634,,0.5722,,45,12.95,,14.97,,2,1.0,10000,5,99.77,0.0,,11,12.98,0.0,,,0,,,11,0.0,
uav0000305_00000_v,0.0,,0.0,,50.1,,0.93,,0.5076,,512,0.09,,6378,,6320,21517,,32,0,184,69,6.83,,,2.19,,0,0.0,,0.5076,,68,0.61,,17.79,,1,1.0,10000,0,68.93,0.06,,1,1.11,0.2,,,13,,,1,0.0,
uav0000339_00001_v,0.0,,0.0,,50.52,,13.3,,0.0034,,512,0.02,,12023,,10187,31490,,26,8,275,75,25.91,,,26.34,,0,0.5455,,0.5489,,59,15.09,,14.29,,6,1.0,10000,10,98.61,0.02,,17,15.31,0.04,,,5,,,17,0.0,
OVERALL (detection),,0.01,,0.0,,,,,,,,,0.06,113993,,,350185,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.12,,139,114132,350324,,,0.0
OVERALL (tracking),,,,,,40.12,,8.43,,,,,,,101276,,,655,,101,,,,16.85,21,,19.22,,,,,,672,,10.67,,19.55,35,,,51,,,,,,,,,,,,,,
OVERALL (emb),,,,,,,,,,0.0747,,,,,,,,,,,,,,,,,,,,0.4538,,0.5285,,,,,,,,,,,,,,,,,7,,,,,,
